ID,Unvocalized,Vocalized,Root,Normalized,Triliteral,Past,Future,Imperative,Passive
1,أمكن,أمْكَنَ,مكن,ءمكن,0,0,0,0,0
2,استحال,اِسْتَحَالَ,حيل,استحال,0,0,0,0,0
3,زها,زَهَا,زهو,زها,1,0,0,0,1
4,بئس,بِئْسَ,بأس,بءس,1,0,0,0,0
5,أغمى,أَغْمَى,غمي,ءغمى,0,0,0,0,1
6,سقط,سَقَطَ,سقط,سقط,1,0,0,0,1
7,نعم,نِعْمَ,نعم,نعم,1,0,0,0,0
8,وهب,وَهَبَ,وهب،هيب,وهب,1,0,0,0,0
9,انبغى,اِنْبَغَى,بغي,انبغى,0,0,0,0,0
10,برح,بَرِحَ,برح,برح,1,1,1,0,0
11,انفك,اِنْفَكَّ,فكك,انفك,0,1,1,0,0
12,تعالى,تَعَالَى,علو,تعالى,0,0,0,1,0
13,فتئ,فَتِئَ,فتأ,فتء,1,1,1,0,0
14,ودع,وَدَعَ,ودع,ودع,1,0,1,1,0
15,وذر,وَذَرَ,ودع,وذر,1,0,1,1,0
16,أوشك,أَوْشَكَ,وشك,ءوشك,0,1,1,0,0
17,رام,رَامَ,روم,رام,1,1,1,0,0
18,زال,زَالَ,زيل,زال,1,1,1,0,0
19,كاد,كَادَ,كود,كاد,1,1,1,0,0
20,ليس,لَيْسَ,ليس,ليس,1,1,0,0,0
21,عيا,عَيَّا,عيي,عيا,0,1,1,1,0
22,زيا,زَيَّا,زيي,زيا,0,0,0,0,0
23,حيا,حَيَّا,حيي,حيا,0,0,0,0,0
24,تحتم,تَحَتَّمَ,حتم,تحتم,0,0,0,0,0
25,أحيا,أَحْيَا,حيي,ءحيا,0,0,0,0,0
26,أعيا,أَعْيَا,عيي,ءعيا,0,0,0,0,0
27,تحيا,تَحَيَّا,حيي,تحيا,0,1,1,1,0
28,تزيا,تَزَيَّا,زيي,تزيا,0,1,1,1,0
29,استعيا,اِسْتَعْيَا,عيي,استعيا,0,0,0,0,0
30,استحيا,اِسْتَحْيَا,حيي,استحيا,0,0,0,0,0
31,عسى,عَسَى,عسي,عسى,1,1,0,0,0
32,حيي,حَيِيَ,حيي,حيي,1,1,1,1,0
33,عيي,عَيِيَ,عيي,عيي,1,0,0,0,0
34,آوى,آوَى,أوي,ءاوى,0,0,0,0,0
35,حلك,حَلَكَ,حلك,حلك,1,1,1,1,0
36,بخر,بَخِرَ,بخر,بخر,1,1,1,1,0
37,حبس,حَبَسَ,حبس,حبس,1,0,0,0,0
38,تلد,تَلِدَ,تلد,تلد,1,1,1,1,0
39,حصد,حَصِدَ,حصد,حصد,1,1,1,1,0
40,خبر,خَبِرَ,خبر,خبر,1,0,0,0,0
41,نجع,نَجَعَ,نجع,نجع,1,0,0,0,0
42,حلف,حَلَفَ,حلف,حلف,1,0,0,0,0
