unvocalized,vocalized,root,normalized,jamid,musytaq
أمكن,أمْكَنَ,مكن,ءمكن,0,1
استحال,اِسْتَحَالَ,حيل,استحال,0,1
زها,زَهَا,زهو,زها,0,1
بئس,بِئْسَ,بأس,بءس,1,0
أغمى,أَغْمَى,غمي,ءغمى,0,1
سقط,سَقَطَ,سقط,سقط,1,0
نعم,نِعْمَ,نعم,نعم,0,1
وهب,وَهَبَ,وهب،هيب,وهب,0,1
انبغى,اِنْبَغَى,بغي,انبغى,0,1
برح,بَرِحَ,برح,برح,0,1
انفك,اِنْفَكَّ,فكك,انفك,0,1
تعالى,تَعَالَى,علو,تعالى,0,1
فتئ,فَتِئَ,فتأ,فتء,0,1
ودع,وَدَعَ,ودع,ودع,0,1
وذر,وَذَرَ,ودع,وذر,0,1
أوشك,أَوْشَكَ,وشك,ءوشك,0,1
رام,رَامَ,روم,رام,0,1
زال,زَالَ,زيل,زال,0,1
كاد,كَادَ,كود,كاد,0,1
ليس,لَيْسَ,ليس,ليس,0,1
عيا,عَيَّا,عيي,عيا,0,1
زيا,زَيَّا,زيي,زيا,0,1
حيا,حَيَّا,حيي,حيا,0,1
تحتم,تَحَتَّمَ,حتم,تحتم,0,1
أحيا,أَحْيَا,حيي,ءحيا,0,1
أعيا,أَعْيَا,عيي,ءعيا,0,1
تحيا,تَحَيَّا,حيي,تحيا,0,1
تزيا,تَزَيَّا,زيي,تزيا,0,1
استعيا,اِسْتَعْيَا,عيي,استعيا,0,1
استحيا,اِسْتَحْيَا,حيي,استحيا,0,1
عسى,عَسَى,عسي,عسى,0,1
حيي,حَيِيَ,حيي,حيي,1,0
عيي,عَيِيَ,عيي,عيي,0,1
آوى,آوَى,أوي,ءاوى,0,1
حلك,حَلَكَ,حلك,حلك,0,1
بخر,بَخِرَ,بخر,بخر,0,1
حبس,حَبَسَ,حبس,حبس,1,0
تلد,تَلِدَ,تلد,تلد,0,1
حصد,حَصِدَ,حصد,حصد,0,1
خبر,خَبِرَ,خبر,خبر,0,1
نجع,نَجَعَ,نجع,نجع,0,1
حلف,حَلَفَ,حلف,حلف,0,1
عصم,عَصَمَ,عصم,عصم,1,0
كسل,كَسِلَ,كسل,كسل,0,1
هشم,هَشَمَ,هشم,هشم,0,1
بهج,بَهِجَ,بهج,بهج,0,1
كسح,كَسِحَ,كسح,كسح,0,1
بله,بَلِهَ,بله,بله,0,1
كثم,كَثَمَ,كثم,كثم,0,1
حقد,حَقِدَ,حقد,حقد,0,1
حكر,حَكِرَ,حكر,حكر,0,1
محك,مَحِكَ,محك,محك,1,0
فرش,فَرَشَ,فرش,فرش,0,1
حفن,حَفَنَ,حفن,حفن,0,1
خبص,خَبَصَ,خبص,خبص,0,1
طرب,طَرِبَ,طرب,طرب,0,1
خرع,خَرَعَ,خرع,خرع,0,1
ختن,خَتَنَ,ختن,ختن,0,1
فهم,فَهِمَ,فهم,فهم,0,1
نكب,نَكِبَ,نكب,نكب,0,1
خدش,خَدَشَ,خدش,خدش,0,1
حمق,حَمِقَ,حمق,حمق,0,1
جدع,جَدِعَ,جدع,جدع,0,1
رهص,رَهَصَ,رهص,رهص,0,1
خجل,خَجِلَ,خجل,خجل,0,1
خدر,خَدِرَ,خدر,خدر,0,1
عقل,عَقَلَ,عقل,عقل,0,1
حشك,حَشَكَ,حشك,حشك,0,1
حفز,حَفَزَ,حفز,حفز,0,1
حفص,حَفَصَ,حفص,حفص,0,1
دسع,دَسَعَ,دسع,دسع,0,1
حشم,حَشَمَ,حشم,حشم,0,1
مهن,مَهَنَ,مهن,مهن,0,1
حفر,حَفَرَ,حفر,حفر,0,1
كسح,كَسَحَ,كسح,كسح,0,1
خمر,خَمِرَ,خمر,خمر,1,0
شبح,شَبَحَ,شبح,شبح,0,1
حطم,حَطَمَ,حطم,حطم,0,1
نزق,نَزِقَ,نزق,نزق,0,1
خبل,خَبِلَ,خبل,خبل,0,1
سلط,سَلِطَ,سلط,سلط,0,1
برم,بَرِمَ,برم,برم,1,0
بصر,بَصِرَ,بصر,بصر,0,1
غفر,غَفَرَ,غفر,غفر,0,1
جرس,جَرَسَ,جرس,جرس,0,1
بسم,بَسَمَ,بسم,بسم,1,0
عرك,عَرِكَ,عرك,عرك,0,1
خلق,خَلِقَ,خلق,خلق,0,1
صلع,صَلِعَ,صلع,صلع,0,1
زهر,زَهَرَ,زهر,زهر,1,0
تفل,تَفَلَ,تفل,تفل,0,1
نكز,نَكِزَ,نكز,نكز,0,1
بطن,بَطِنَ,بطن,بطن,0,1
سكع,سَكَعَ,سكع,سكع,0,1
بطح,بَطَحَ,بطح,بطح,0,1
خنف,خَنَفَ,خنف,خنف,0,1
غدق,غَدَقَ,غدق,غدق,0,1
جزل,جَزَلَ,جزل,جزل,1,0
جلط,جَلَطَ,جلط,جلط,0,1
مسك,مَسَكَ,مسك,مسك,0,1
جرج,جَرِجَ,جرج,جرج,1,0
دلف,دَلَفَ,دلف,دلف,0,1
عجف,عَجِفَ,عجف,عجف,0,1
ملد,مَلِدَ,ملد,ملد,0,1
نهر,نَهِرَ,نهر,نهر,0,1
جرذ,جَرِذَ,جرذ,جرذ,0,1
جرع,جَرَعَ,جرع,جرع,0,1
جرح,جَرَحَ,جرح,جرح,0,1
سعر,سَعَرَ,سعر,سعر,0,1
تفه,تَفِهَ,تفه,تفه,0,1
رسل,رَسِلَ,رسل,رسل,1,0
هدل,هَدِلَ,هدل,هدل,0,1
نزل,نَزِلَ,نزل,نزل,0,1
خضم,خَضِمَ,خضم,خضم,0,1
شبم,شَبِمَ,شبم,شبم,0,1
تلف,تَلِفَ,تلف,تلف,0,1
حطب,حَطِبَ,حطب,حطب,0,1
ترف,تَرِفَ,ترف,ترف,0,1
كحل,كَحِلَ,كحل,كحل,0,1
بقر,بَقَرَ,بقر,بقر,1,0
هدف,هَدَفَ,هدف,هدف,1,0
بعر,بَعَرَ,بعر,بعر,1,0
بغت,بَغَتَ,بغت,بغت,0,1
بخل,بَخِلَ,بخل,بخل,0,1
محل,مَحَلَ,محل,محل,0,1
عكس,عَكَسَ,عكس,عكس,0,1
ردف,رَدِفَ,ردف,ردف,1,0
قصف,قَصَفَ,قصف,قصف,0,1
خطر,خَطَرَ,خطر,خطر,0,1
جنح,جَنَحَ,جنح,جنح,1,0
تبع,تَبِعَ,تبع,تبع,0,1
شنج,شَنِجَ,شنج,شنج,0,1
حسف,حَسِفَ,حسف,حسف,0,1
عتب,عَتَبَ,عتب,عتب,0,1
بحث,بَحَثَ,بحث,بحث,0,1
عشق,عَشِقَ,عشق,عشق,0,1
نعب,نَعَبَ,نعب,نعب,0,1
صرد,صَرِدَ,صرد,صرد,0,1
خزق,خَزَقَ,خزق,خزق,0,1
زلع,زَلَعَ,زلع,زلع,0,1
شنع,شَنَعَ,شنع,شنع,0,1
شنع,شَنِعَ,شنع,شنع,0,1
ربع,رَبَعَ,ربع,ربع,0,1
نصع,نَصَعَ,نصع,نصع,0,1
عتق,عَتَقَ,عتق,عتق,0,1
صرف,صَرَفَ,صرف,صرف,0,1
هزج,هَزِجَ,هزج,هزج,1,0
نتن,نَتَنَ,نتن,نتن,0,1
صعق,صَعَقَ,صعق,صعق,0,1
صعق,صَعِقَ,صعق,صعق,0,1
حدر,حَدِرَ,حدر,حدر,0,1
صدف,صَدَفَ,صدف,صدف,1,0
شهق,شَهَقَ,شهق,شهق,0,1
معن,مَعَنَ,معن,معن,0,1
شهب,شَهِبَ,شهب,شهب,1,0
فخر,فَخِرَ,فخر,فخر,0,1
زمر,زَمَرَ,زمر,زمر,0,1
شكر,شَكِرَ,شكر,شكر,0,1
شكس,شَكِسَ,شكس,شكس,0,1
شكل,شَكِلَ,شكل,شكل,0,1
حمل,حَمَلَ,حمل,حمل,1,0
شمت,شَمِتَ,شمت,شمت,0,1
كبت,كَبَتَ,كبت,كبت,0,1
شمس,شَمِسَ,شمس,شمس,0,1
نزف,نَزَفَ,نزف,نزف,0,1
شرب,شَرِبَ,شرب,شرب,0,1
زعق,زَعَقَ,زعق,زعق,0,1
نشط,نَشَطَ,نشط,نشط,0,1
ذبح,ذَبَحَ,ذبح,ذبح,0,1
شعف,شَعِفَ,شعف,شعف,1,0
سوق,سَوِقَ,سوق,سوق,1,0
جشم,جَشِمَ,جشم,جشم,0,1
شبر,شَبِرَ,شبر,شبر,0,1
ظلف,ظَلِفَ,ظلف,ظلف,0,1
طفر,طَفَرَ,طفر,طفر,0,1
شبق,شَبِقَ,شبق,شبق,0,1
سيس,سَيِسَ,سيس,سيس,0,1
صرم,صَرَمَ,صرم,صرم,0,1
لزج,لَزِجَ,لزج,لزج,1,0
غلق,غَلَقَ,غلق,غلق,0,1
بشع,بَشِعَ,بشع,بشع,0,1
شوه,شَوِهَ,شوه,شوه,0,1
لمس,لَمَسَ,لمس,لمس,0,1
شبك,شَبَكَ,شبك,شبك,0,1
هجع,هَجَعَ,هجع,هجع,0,1
شبع,شَبِعَ,شبع,شبع,0,1
شخب,شَخَبَ,شخب,شخب,0,1
عدل,عَدَلَ,عدل,عدل,0,1
قضب,قَضَبَ,قضب,قضب,0,1
صدع,صَدَعَ,صدع,صدع,0,1
صخب,صَخِبَ,صخب,صخب,0,1
حدج,حَدَجَ,حدج,حدج,0,1
قرس,قَرَسَ,قرس,قرس,0,1
رثم,رَثِمَ,رثم,رثم,0,1
علق,عَلَقَ,علق,علق,0,1
نذر,نَذِرَ,نذر,نذر,0,1
كتف,كَتَفَ,كتف,كتف,0,1
جهز,جَهَزَ,جهز,جهز,0,1
خفر,خَفِرَ,خفر,خفر,0,1
حبر,حَبِرَ,حبر,حبر,1,0
رضع,رَضِعَ,رضع,رضع,0,1
جهش,جَهَشَ,جهش,جهش,0,1
جهد,جَهَدَ,جهد,جهد,0,1
قضم,قَضِمَ,قضم,قضم,0,1
خصب,خَصَبَ,خصب,خصب,0,1
حنث,حَنِثَ,حنث,حنث,0,1
قلق,قَلَقَ,قلق,قلق,0,1
حور,حَوِرَ,حور,حور,1,0
شنب,شَنِبَ,شنب,شنب,0,1
حمر,حَمِرَ,حمر,حمر,0,1
حمس,حَمِسَ,حمس,حمس,0,1
خبز,خَبَزَ,خبز,خبز,0,1
ظرب,ظَرِبَ,ظرب,ظرب,1,0
حبط,حَبَطَ,حبط,حبط,0,1
هزع,هَزَعَ,هزع,هزع,0,1
حنط,حَنَطَ,حنط,حنط,0,1
حنف,حَنِفَ,حنف,حنف,0,1
حبط,حَبِطَ,حبط,حبط,0,1
بذخ,بَذِخَ,بذخ,بذخ,0,1
كرز,كَرَزَ,كرز,كرز,1,0
ثمل,ثَمِلَ,ثمل,ثمل,0,1
مشط,مَشَطَ,مشط,مشط,1,0
حذر,حَذِرَ,حذر,حذر,0,1
خرق,خَرِقَ,خرق,خرق,0,1
حرد,حَرَدَ,حرد,حرد,0,1
غلب,غَلَبَ,غلب,غلب,0,1
دنف,دَنِفَ,دنف,دنف,0,1
شنف,شَنِفَ,شنف,شنف,0,1
سلب,سَلِبَ,سلب,سلب,0,1
شفه,شَفَهَ,شفه,شفه,0,1
عجز,عَجَزَ,عجز,عجز,0,1
ظلم,ظَلِمَ,ظلم,ظلم,0,1
كسف,كَسَفَ,كسف,كسف,0,1
حرم,حَرَمَ,حرم,حرم,0,1
شفق,شَفِقَ,شفق,شفق,0,1
كفح,كَفِحَ,كفح,كفح,0,1
نكح,نَكَحَ,نكح,نكح,0,1
حزم,حَزَمَ,حزم,حزم,0,1
كدر,كَدِرَ,كدر,كدر,0,1
خرب,خَرِبَ,خرب,خرب,0,1
حسف,حَسَفَ,حسف,حسف,0,1
سدل,سَدِلَ,سدل,سدل,0,1
سكر,سَكِرَ,سكر,سكر,0,1
حسم,حَسَمَ,حسم,حسم,0,1
حشد,حَشَدَ,حشد,حشد,0,1
خزل,خَزَلَ,خزل,خزل,0,1
خزر,خَزِرَ,خزر,خزر,0,1
لبد,لَبِدَ,لبد,لبد,0,1
خلس,خَلِسَ,خلس,خلس,0,1
نمس,نَمِسَ,نمس,نمس,0,1
قبس,قَبَسَ,قبس,قبس,0,1
ركن,رَكَنَ,ركن,ركن,0,1
