unvocalized,vocalized,jamid
أمكن,أمْكَنَ,0
استحال,اِسْتَحَالَ,0
زها,زَهَا,0
بئس,بِئْسَ,1
أغمى,أَغْمَى,0
سقط,سَقَطَ,1
نعم,نِعْمَ,0
وهب,وَهَبَ,0
انبغى,اِنْبَغَى,0
برح,بَرِحَ,0
انفك,اِنْفَكَّ,0
تعالى,تَعَالَى,0
فتئ,فَتِئَ,0
ودع,وَدَعَ,0
وذر,وَذَرَ,0
أوشك,أَوْشَكَ,0
رام,رَامَ,0
زال,زَالَ,0
كاد,كَادَ,0
ليس,لَيْسَ,0
عيا,عَيَّا,0
زيا,زَيَّا,0
حيا,حَيَّا,0
تحتم,تَحَتَّمَ,0
أحيا,أَحْيَا,0
أعيا,أَعْيَا,0
تحيا,تَحَيَّا,0
تزيا,تَزَيَّا,0
استعيا,اِسْتَعْيَا,0
استحيا,اِسْتَحْيَا,0
عسى,عَسَى,0
حيي,حَيِيَ,1
عيي,عَيِيَ,0
آوى,آوَى,0
حلك,حَلَكَ,0
بخر,بَخِرَ,0
حبس,حَبَسَ,1
تلد,تَلِدَ,0
حصد,حَصِدَ,0
خبر,خَبِرَ,0
نجع,نَجَعَ,0
حلف,حَلَفَ,0
عصم,عَصَمَ,1
كسل,كَسِلَ,0
هشم,هَشَمَ,0
بهج,بَهِجَ,0
كسح,كَسِحَ,0
بله,بَلِهَ,0
كثم,كَثَمَ,0
حقد,حَقِدَ,0
حكر,حَكِرَ,0
محك,مَحِكَ,1
فرش,فَرَشَ,0
حفن,حَفَنَ,0
خبص,خَبَصَ,0
طرب,طَرِبَ,0
خرع,خَرَعَ,0
ختن,خَتَنَ,0
فهم,فَهِمَ,0
نكب,نَكِبَ,0
خدش,خَدَشَ,0
حمق,حَمِقَ,0
جدع,جَدِعَ,0
رهص,رَهَصَ,0
خجل,خَجِلَ,0
خدر,خَدِرَ,0
عقل,عَقَلَ,0
حشك,حَشَكَ,0
حفز,حَفَزَ,0
حفص,حَفَصَ,0
دسع,دَسَعَ,0
حشم,حَشَمَ,0
مهن,مَهَنَ,0
حفر,حَفَرَ,0
كسح,كَسَحَ,0
خمر,خَمِرَ,1
شبح,شَبَحَ,0
حطم,حَطَمَ,0
نزق,نَزِقَ,0
خبل,خَبِلَ,0
سلط,سَلِطَ,0
برم,بَرِمَ,1
بصر,بَصِرَ,0
غفر,غَفَرَ,0
جرس,جَرَسَ,0
بسم,بَسَمَ,1
عرك,عَرِكَ,0
خلق,خَلِقَ,0
صلع,صَلِعَ,0
زهر,زَهَرَ,1
تفل,تَفَلَ,0
نكز,نَكِزَ,0
بطن,بَطِنَ,0
سكع,سَكَعَ,0
بطح,بَطَحَ,0
خنف,خَنَفَ,0
غدق,غَدَقَ,0
جزل,جَزَلَ,1
جلط,جَلَطَ,0
مسك,مَسَكَ,0
جرج,جَرِجَ,1
دلف,دَلَفَ,0
عجف,عَجِفَ,0
ملد,مَلِدَ,0
نهر,نَهِرَ,0
جرذ,جَرِذَ,0
جرع,جَرَعَ,0
جرح,جَرَحَ,0
سعر,سَعَرَ,0
تفه,تَفِهَ,0
رسل,رَسِلَ,1
هدل,هَدِلَ,0
نزل,نَزِلَ,0
خضم,خَضِمَ,0
شبم,شَبِمَ,0
تلف,تَلِفَ,0
حطب,حَطِبَ,0
ترف,تَرِفَ,0
كحل,كَحِلَ,0
بقر,بَقَرَ,1
هدف,هَدَفَ,1
بعر,بَعَرَ,1
