ID,Unvocalized,Vocalized,Root,Triliteral,Madhi,Mudhori,Amar
1,أمكن,أمْكَنَ,مكن,0,أَمْكَنَ,يُمْكِنُ,أَمْكِنْ
2,استحال,اِسْتَحَالَ,حيل,0,اِسْتَحَالَ,يَسْتَحِيلُ,اِسْتَحِلْ
3,زها,زَهَا,زهو,1,زَهَا,يَزْهِوُ,اِزْهِ
4,بئس,بِئْسَ,بأس,1,بَئِسَ,يَبْئِسُ,اِبْئِسْ
5,أغمى,أَغْمَى,غمي,0,أَغْمَى,يُغْمِي,أَغْمِ
6,سقط,سَقَطَ,سقط,1,سَقَطَ,يَسْقِطُ,اِسْقِطْ
7,نعم,نِعْمَ,نعم,1,نَعْمَ,يَنْعِمُ,اِنْعِمْ
8,وهب,وَهَبَ,وهب،هيب,1,وَهَبَ,يَهِبُ,هِبْ
9,انبغى,اِنْبَغَى,بغي,0,اِنْبَغَى,يَنْبَغِي,اِنْبَغِ
10,برح,بَرِحَ,برح,1,بَرِحَ,يَبْرِحُ,اِبْرِحْ
11,انفك,اِنْفَكَّ,فكك,0,اِنْفَكَّ,يَنْفَكُّ,اِنْفَكِكْ
12,تعالى,تَعَالَى,علو,0,تَعَالَى,يَتَعَالَى,تَعَالَ
13,فتئ,فَتِئَ,فتأ,1,فَتِئَ,يَفْتِئُ,اِفْتِئْ
14,ودع,وَدَعَ,ودع,1,وَدَعَ,يَدِعُ,دِعْ
15,وذر,وَذَرَ,ودع,1,وَذَرَ,يَذِرُ,ذِرْ
16,أوشك,أَوْشَكَ,وشك,0,أَوْشَكَ,يُوشِكُ,أَوْشِكْ
17,رام,رَامَ,روم,1,رَامَ,يَرِيمُ,رِمْ
18,زال,زَالَ,زيل,1,زَالَ,يَزِيلُ,زِلْ
19,كاد,كَادَ,كود,1,كَادَ,يَكِيدُ,كِدْ
20,ليس,لَيْسَ,ليس,1,لَيِسَ,يَلْيِسُ,اِلْيِسْ
21,عيا,عَيَّا,عيي,0,عَيَّا,يُعَيِّي,عَيِّ
22,زيا,زَيَّا,زيي,0,زَيَّا,يُزَيِّي,زَيِّ
23,حيا,حَيَّا,حيي,0,حَيَّا,يُحَيِّي,حَيِّ
24,تحتم,تَحَتَّمَ,حتم,0,تَحَتَّمَ,يَتَحَتَّمُ,تَحَتَّمْ
25,أحيا,أَحْيَا,حيي,0,أَحْيَا,يُحْيِي,أَحْيِ
26,أعيا,أَعْيَا,عيي,0,أَعْيَا,يُعْيِي,أَعْيِ
27,تحيا,تَحَيَّا,حيي,0,تَحَيَّا,يَتَحَيَّا,تَحَيَّ
28,تزيا,تَزَيَّا,زيي,0,تَزَيَّا,يَتَزَيَّا,تَزَيَّ
29,استعيا,اِسْتَعْيَا,عيي,0,اِسْتَعْيَا,يَسْتَعْيِي,اِسْتَعْيِ
30,استحيا,اِسْتَحْيَا,حيي,0,اِسْتَحْيَا,يَسْتَحْيِي,اِسْتَحْيِ
31,عسى,عَسَى,عسي,1,عَسَى,يَعْسِي,اِعْسِ
32,حيي,حَيِيَ,حيي,1,حَيِيَ,يَحْيِي,اِحْيِ
33,عيي,عَيِيَ,عيي,1,عَيِيَ,يَعْيِي,اِعْيِ
34,آوى,آوَى,أوي,0,آوَى,يُؤْوِي,آوِ
35,حلك,حَلَكَ,حلك,1,حَلَكَ,يَحْلِكُ,اِحْلِكْ
36,بخر,بَخِرَ,بخر,1,بَخِرَ,يَبْخِرُ,اِبْخِرْ
37,حبس,حَبَسَ,حبس,1,حَبَسَ,يَحْبِسُ,اِحْبِسْ
38,تلد,تَلِدَ,تلد,1,تَلِدَ,يَتْلِدُ,اِتْلِدْ
39,حصد,حَصِدَ,حصد,1,حَصِدَ,يَحْصِدُ,اِحْصِدْ
40,خبر,خَبِرَ,خبر,1,خَبِرَ,يَخْبِرُ,اِخْبِرْ
41,نجع,نَجَعَ,نجع,1,نَجَعَ,يَنْجِعُ,اِنْجِعْ
42,حلف,حَلَفَ,حلف,1,حَلَفَ,يَحْلِفُ,اِحْلِفْ
43,عصم,عَصَمَ,عصم,1,عَصَمَ,يَعْصِمُ,اِعْصِمْ
44,كسل,كَسِلَ,كسل,1,كَسِلَ,يَكْسِلُ,اِكْسِلْ
45,هشم,هَشَمَ,هشم,1,هَشَمَ,يَهْشِمُ,اِهْشِمْ
46,بهج,بَهِجَ,بهج,1,بَهِجَ,يَبْهِجُ,اِبْهِجْ
47,كسح,كَسِحَ,كسح,1,كَسِحَ,يَكْسِحُ,اِكْسِحْ
48,بله,بَلِهَ,بله,1,بَلِهَ,يَبْلِهُ,اِبْلِهْ
49,كثم,كَثَمَ,كثم,1,كَثَمَ,يَكْثِمُ,اِكْثِمْ
50,حقد,حَقِدَ,حقد,1,حَقِدَ,يَحْقِدُ,اِحْقِدْ
51,حكر,حَكِرَ,حكر,1,حَكِرَ,يَحْكِرُ,اِحْكِرْ
52,محك,مَحِكَ,محك,1,مَحِكَ,يَمْحِكُ,اِمْحِكْ
53,فرش,فَرَشَ,فرش,1,فَرَشَ,يَفْرِشُ,اِفْرِشْ
